PERMNO,date,prc
57665,20010102,54.125
57665,20010103,55.9375
57665,20010104,57.375
57665,20010105,54.875
57665,20010108,57.625
57665,20010109,59.4375
57665,20010110,58.125
57665,20010111,57.75
57665,20010112,56.4375
57665,20010116,55.6875
57665,20010117,55.8125
57665,20010118,56.0625
57665,20010119,52.4375
57665,20010122,52.9375
57665,20010123,53.125
57665,20010124,52.375
57665,20010125,54.1875
57665,20010126,53
57665,20010129,52.67
57665,20010130,53.02
57665,20010131,55.02
57665,20010201,54.75
57665,20010202,54.95
57665,20010205,55.3
57665,20010206,56.85
57665,20010207,56.68
57665,20010208,55.18
57665,20010209,54.7
57665,20010212,54.48
57665,20010213,56.14
57665,20010214,55.2
57665,20010215,52.42
57665,20010216,51.82
57665,20010220,47.81
57665,20010221,47.1
57665,20010222,48.05
57665,20010223,49
57665,20010226,49.17
57665,20010227,39.6
57665,20010228,39.05
57665,20010301,38.2
57665,20010302,37.91
57665,20010305,37.99
57665,20010306,39.23
57665,20010307,40.4
57665,20010308,40.5
57665,20010309,40.11
57665,20010312,39.17
57665,20010313,37.83
57665,20010314,36.81
57665,20010315,36.54
57665,20010316,36.5
57665,20010319,36.3
57665,20010320,38.01
57665,20010321,40.2
57665,20010322,39.81
57665,20010323,40.47
57665,20010326,39.59
57665,20010327,39.95
57665,20010328,39.73
57665,20010329,40.23
57665,20010330,40.55
57665,20010402,41.19
57665,20010403,39.41
57665,20010404,39.98
57665,20010405,39.6
57665,20010406,39.37
57665,20010409,39.5
57665,20010410,39.42
57665,20010411,38.05
57665,20010412,37.46
57665,20010416,36.95
57665,20010417,37.2
57665,20010418,38.24
57665,20010419,39.6
57665,20010420,39.74
57665,20010423,39.8
57665,20010424,38.25
57665,20010425,38.98
57665,20010426,39.83
57665,20010427,41.62
57665,20010430,41.81
57665,20010501,40.58
57665,20010502,41.56
57665,20010503,40.94
57665,20010504,40.62
57665,20010507,40.52
57665,20010508,40.96
57665,20010509,40.02
57665,20010510,39.38
57665,20010511,38.39
57665,20010514,38.86
57665,20010515,39.6
57665,20010516,42.01
57665,20010517,42.3
57665,20010518,42.4
57665,20010521,43.68
57665,20010522,45.09
57665,20010523,43.7
57665,20010524,43.75
57665,20010525,43.48
57665,20010529,42.46
57665,20010530,41
57665,20010531,41.1
57665,20010601,41.31
57665,20010604,41.16
57665,20010605,41.42
57665,20010606,41.4
57665,20010607,42.34
57665,20010608,41.62
57665,20010611,41.19
57665,20010612,41.87
57665,20010613,41.35
57665,20010614,41.45
57665,20010615,40.91
57665,20010618,40.81
57665,20010619,42.61
57665,20010620,42
57665,20010621,43.53
57665,20010622,44.55
57665,20010625,44
57665,20010626,42.75
57665,20010627,42.66
57665,20010628,41.98
57665,20010629,41.99
57665,20010702,42.15
57665,20010703,42.52
57665,20010705,42.09
57665,20010706,41.8
57665,20010709,41.5
57665,20010710,41.13
57665,20010711,42.36
57665,20010712,45
57665,20010713,45.13
57665,20010716,46.4
57665,20010717,46.95
57665,20010718,45.99
57665,20010719,47.74
57665,20010720,47.36
57665,20010723,46.22
57665,20010724,46.05
57665,20010725,46.78
57665,20010726,47.84
57665,20010727,46.8
57665,20010730,46.1
57665,20010731,47.55
57665,20010801,47.81
57665,20010802,49.79
57665,20010803,50.15
57665,20010806,47.53
57665,20010807,47.77
57665,20010808,48
57665,20010809,48.65
57665,20010810,49.44
57665,20010813,49.68
57665,20010814,49.5
57665,20010815,48.75
57665,20010816,49.01
57665,20010817,48.73
57665,20010820,48.21
57665,20010821,48.64
57665,20010822,48.9
57665,20010823,49.23
57665,20010824,51.28
57665,20010827,50.5
57665,20010828,50.5
57665,20010829,50.25
57665,20010830,49.51
57665,20010831,50
57665,20010904,50.75
57665,20010905,50.5
57665,20010906,50.13
57665,20010907,48.51
57665,20010910,48.65
57665,20010917,44.05
57665,20010918,43.04
57665,20010919,42.75
57665,20010920,42.26
57665,20010921,43.68
57665,20010924,46.41
57665,20010925,45.65
57665,20010926,45.45
57665,20010927,45.55
57665,20010928,46.81
57665,20011001,46.89
57665,20011002,48.06
57665,20011003,48.95
57665,20011004,47.62
57665,20011005,47.8
57665,20011008,47.4
57665,20011009,46.76
57665,20011010,48.25
57665,20011011,47.91
57665,20011012,48.08
57665,20011015,47.65
57665,20011016,47.53
57665,20011017,47.43
57665,20011018,47.62
57665,20011019,48.13
57665,20011022,49.32
57665,20011023,49.13
57665,20011024,48.78
57665,20011025,48.99
57665,20011026,49.64
57665,20011029,48.85
57665,20011030,48.06
57665,20011031,49.36
57665,20011101,48.98
57665,20011102,49.18
57665,20011105,49.48
57665,20011106,49.97
57665,20011107,49.74
57665,20011108,49.84
57665,20011109,49.55
57665,20011112,49.37
57665,20011113,49.98
57665,20011114,51.56
57665,20011115,52.44
57665,20011116,52.95
57665,20011119,53.24
57665,20011120,53.54
57665,20011121,53.55
57665,20011123,53.4
57665,20011126,52.29
57665,20011127,52.26
57665,20011128,51.76
57665,20011129,51.4
57665,20011130,52.99
57665,20011203,52.89
57665,20011204,52.97
57665,20011205,54.77
57665,20011206,56.34
57665,20011207,55.04
57665,20011210,54.42
57665,20011211,55
57665,20011212,54.5
57665,20011213,54.83
57665,20011214,53.85
57665,20011217,52.31
57665,20011218,52.78
57665,20011219,54.61
57665,20011220,53.79
57665,20011221,56.3
57665,20011224,57.05
57665,20011226,57.1
57665,20011227,56.75
57665,20011228,56.48
57665,20011231,56.24
57665,20020102,56.92
57665,20020103,56.5
57665,20020104,57
57665,20020107,57.19
57665,20020108,57.35
57665,20020109,56.54
57665,20020110,57.03
57665,20020111,55.43
57665,20020114,54.7
57665,20020115,57.3
57665,20020116,56.2
57665,20020117,57.38
57665,20020118,57.55
57665,20020122,58
57665,20020123,58.16
57665,20020124,58.74
57665,20020125,58.61
57665,20020128,58.23
57665,20020129,57.8
57665,20020130,61
57665,20020131,59.91
57665,20020201,60.02
57665,20020204,59.46
57665,20020205,59.99
57665,20020206,60.1
57665,20020207,60.05
57665,20020208,59.1
57665,20020211,60.44
57665,20020212,60.16
57665,20020213,60.4
57665,20020214,60.48
57665,20020215,59.51
57665,20020219,58.34
57665,20020220,58.53
57665,20020221,57.5
57665,20020222,59.4
57665,20020225,59.74
57665,20020226,59.43
57665,20020227,58.52
57665,20020228,58.86
57665,20020301,58.85
57665,20020304,59.24
57665,20020305,58.02
57665,20020306,58.6
57665,20020307,58.8
57665,20020308,58.2
57665,20020311,58.49
57665,20020312,58.49
57665,20020313,60.7
57665,20020314,62.76
57665,20020315,62.75
57665,20020318,63.5
57665,20020319,63.4
57665,20020320,63.99
57665,20020321,63.2
57665,20020322,59.5
57665,20020325,60.07
57665,20020326,60.5
57665,20020327,61
57665,20020328,60.01
57665,20020401,58.74
57665,20020402,57.66
57665,20020403,58.2
57665,20020404,58.03
57665,20020405,58.87
57665,20020408,58.55
57665,20020409,58.67
57665,20020410,58.51
57665,20020411,57.55
57665,20020412,57.86
57665,20020415,57.04
57665,20020416,58.74
57665,20020417,57.4
57665,20020418,55.4
57665,20020419,56.82
57665,20020422,57
57665,20020423,57.42
57665,20020424,56
57665,20020425,55.49
57665,20020426,54.75
57665,20020429,53.9
57665,20020430,53.33
57665,20020501,54.68
57665,20020502,55.23
57665,20020503,55.34
57665,20020506,54
57665,20020507,55.14
57665,20020508,56.05
57665,20020509,54.9
57665,20020510,52.9
57665,20020513,53.7
57665,20020514,55.16
57665,20020515,54.46
57665,20020516,55.85
57665,20020517,55.84
57665,20020520,54.4
57665,20020521,53.76
57665,20020522,52.75
57665,20020523,54.75
57665,20020524,54
57665,20020528,53.7
57665,20020529,53.57
57665,20020530,53.54
57665,20020531,53.75
57665,20020603,52.06
57665,20020604,50.39
57665,20020605,50.8
57665,20020606,50.35
57665,20020607,50.14
57665,20020610,50.28
57665,20020611,50.4
57665,20020612,50.35
57665,20020613,50
57665,20020614,49.75
57665,20020617,52.36
57665,20020618,53
57665,20020619,53
57665,20020620,52
57665,20020621,50.75
57665,20020624,50.9
57665,20020625,49.6
57665,20020626,49.08
57665,20020627,51.42
57665,20020628,53.65
57665,20020701,54.6
57665,20020702,54.7
57665,20020703,55.05
57665,20020705,56.28
57665,20020708,56.76
57665,20020709,56
57665,20020710,55.67
57665,20020711,52.65
57665,20020712,53.18
57665,20020715,52.4
57665,20020716,54.04
57665,20020717,53.5
57665,20020718,51.06
57665,20020719,48.98
57665,20020722,47.54
57665,20020723,46.35
57665,20020724,48.4
57665,20020725,48.59
57665,20020726,48.71
57665,20020729,50.85
57665,20020730,50.3
57665,20020731,49.29
57665,20020801,47
57665,20020802,45.48
57665,20020805,43.91
57665,20020806,44.6
57665,20020807,44.56
57665,20020808,44.99
57665,20020809,43.92
57665,20020812,42.77
57665,20020813,43
57665,20020814,44.25
57665,20020815,45.3
57665,20020816,44.05
57665,20020819,43.58
57665,20020820,44.8
57665,20020821,45.49
57665,20020822,46.15
57665,20020823,45.8
57665,20020826,45.9
57665,20020827,45.31
57665,20020828,44.53
57665,20020829,42.98
57665,20020830,43.18
57665,20020903,42.18
57665,20020904,42.17
57665,20020905,41.87
57665,20020906,41.88
57665,20020909,40.95
57665,20020910,42.13
57665,20020911,43
57665,20020912,41.78
57665,20020913,41.73
57665,20020916,42.21
57665,20020917,41.7
57665,20020918,43.05
57665,20020919,44.01
57665,20020920,44.1
57665,20020923,42.3
57665,20020924,42.21
57665,20020925,44.37
57665,20020926,45.61
57665,20020927,43.86
57665,20020930,43.18
57665,20021001,43.48
57665,20021002,43.1
57665,20021003,42.04
57665,20021004,41.94
57665,20021007,39.96
57665,20021008,40.01
57665,20021009,39.32
57665,20021010,39.83
57665,20021011,41.86
57665,20021014,42.58
57665,20021015,44.95
57665,20021016,43.08
57665,20021017,44.5
57665,20021018,43.45
57665,20021021,45.54
57665,20021022,45.3
57665,20021023,45.24
57665,20021024,45.6
57665,20021025,46.99
57665,20021028,46.71
57665,20021029,46.27
57665,20021030,47.1
57665,20021031,47.19
57665,20021101,47.45
57665,20021104,47.35
57665,20021105,46.12
57665,20021106,45.22
57665,20021107,44.54
57665,20021108,44.01
57665,20021111,42.84
57665,20021112,43.85
57665,20021113,43.62
57665,20021114,45.23
57665,20021115,45.56
57665,20021118,45.29
57665,20021119,44.55
57665,20021120,45.72
57665,20021121,45.07
57665,20021122,43.75
57665,20021125,44.57
57665,20021126,43.94
57665,20021127,45.09
57665,20021129,44.78
57665,20021202,46.55
57665,20021203,46.5
57665,20021204,46.1
57665,20021205,45.35
57665,20021206,45.12
57665,20021209,43.56
57665,20021210,43.29
57665,20021211,43.16
57665,20021212,43.8
57665,20021213,42.53
57665,20021216,44.23
57665,20021217,42.7
57665,20021218,41.93
57665,20021219,41.53
57665,20021220,45.1
57665,20021223,44.3
57665,20021224,44.05
57665,20021226,44.14
57665,20021227,43.53
57665,20021230,44.52
57665,20021231,44.47
57665,20030102,46.1
57665,20030103,45.15
57665,20030106,45.78
57665,20030107,45.66
57665,20030108,46.02
57665,20030109,47.2
57665,20030110,47.53
57665,20030113,47.1
57665,20030114,46.68
57665,20030115,45.95
57665,20030116,45.52
57665,20030117,45.05
57665,20030121,43.84
57665,20030122,43.42
57665,20030123,44.64
57665,20030124,43.4
57665,20030127,43.56
57665,20030128,44.61
57665,20030129,45.67
57665,20030130,44.93
57665,20030131,44.54
57665,20030203,44.17
57665,20030204,43.68
57665,20030205,43.29
57665,20030206,43.18
57665,20030207,42.4
57665,20030210,43.34
57665,20030211,43.85
57665,20030212,43.67
57665,20030213,43.98
57665,20030214,45.14
57665,20030218,45.56
57665,20030219,45.47
57665,20030220,45.68
57665,20030221,46.36
57665,20030224,45.27
57665,20030225,45.41
57665,20030226,45.07
57665,20030227,46.23
57665,20030228,46.37
57665,20030303,46.68
57665,20030304,45.66
57665,20030305,46.58
57665,20030306,46.61
57665,20030307,49.1
57665,20030310,47.27
57665,20030311,47.55
57665,20030312,48.15
57665,20030313,49
57665,20030314,49.75
57665,20030317,51.57
57665,20030318,48.99
57665,20030319,50.08
57665,20030320,52.85
57665,20030321,53.3
57665,20030324,52.11
57665,20030325,52.89
57665,20030326,52.06
57665,20030327,52.21
57665,20030328,53.04
57665,20030331,51.42
57665,20030401,50.8
57665,20030402,52.3
57665,20030403,52.17
57665,20030404,51.5
57665,20030407,51.42
57665,20030408,51.87
57665,20030409,51.78
57665,20030410,52.67
57665,20030411,52.59
57665,20030414,53.25
57665,20030415,53.77
57665,20030416,52.35
57665,20030417,52.3
57665,20030421,51.86
57665,20030422,53.15
57665,20030423,53.75
